  0:	proc  - (:root:) creates proc  0 (Screen)
  0:	proc  - (:root:) creates proc  1 (User)
  0:	proc  - (:root:) creates proc  2 (Server)
106:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
107:	proc  1 (User:1) Katsupay_spin.pml:147 (state 39)	[((Screen_state==s_charge))]
108:	proc  1 (User:1) Katsupay_spin.pml:147 (state 40)	[Screen_ch!press_charge_charge_btn]
108:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 51)	[Screen_ch?press_charge_charge_btn]
109:	proc  0 (Screen:1) Katsupay_spin.pml:62 (state 52)	[Screen_state = s_nfc]
110:	proc  1 (User:1) Katsupay_spin.pml:148 (state 41)	[((Screen_state==s_nfc))]
111:	proc  0 (Screen:1) Katsupay_spin.pml:64 (state 54)	[.(goto)]
112:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
113:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 10)	[((Screen_state==s_nfc))]
114:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
115:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 48)	[.(goto)]
116:	proc  1 (User:1) Katsupay_spin.pml:127 (state 8)	[((Screen_state==s_nfc))]
117:	proc  1 (User:1) Katsupay_spin.pml:134 (state 17)	[Screen_ch!nfc_pay]
117:	proc  0 (Screen:1) Katsupay_spin.pml:33 (state 19)	[Screen_ch?nfc_pay]
118:	proc  0 (Screen:1) Katsupay_spin.pml:34 (state 20)	[HTTP_ch!req_HTTP_pay]
118:	proc  2 (Server:1) Katsupay_spin.pml:184 (state 2)	[HTTP_ch?req_HTTP_pay]
119:	proc  2 (Server:1) Katsupay_spin.pml:185 (state 3)	[Server_state = HTTP_receive]
120:	proc  2 (Server:1) Katsupay_spin.pml:187 (state 4)	[HTTP_ch!suc_HTTP_pay]
120:	proc  0 (Screen:1) Katsupay_spin.pml:36 (state 21)	[HTTP_ch?suc_HTTP_pay]
121:	proc  2 (Server:1) Katsupay_spin.pml:190 (state 8)	[Server_state = HTTP_waiting]
122:	proc  2 (Server:1) Katsupay_spin.pml:206 (state 24)	[.(goto)]
123:	proc  0 (Screen:1) Katsupay_spin.pml:40 (state 24)	[Screen_state = s_bfail]
124:	proc  2 (Server:1) Katsupay_spin.pml:207 (state 26)	[.(goto)]
125:	proc  1 (User:1) Katsupay_spin.pml:137 (state 20)	[((Screen_state==s_bfail))]
126:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
127:	proc  0 (Screen:1) Katsupay_spin.pml:41 (state 25)	[HTTP_ch!req_HTTP_getbalance]
127:	proc  2 (Server:1) Katsupay_spin.pml:198 (state 16)	[HTTP_ch?req_HTTP_getbalance]
128:	proc  2 (Server:1) Katsupay_spin.pml:199 (state 17)	[Server_state = HTTP_receive]
129:	proc  0 (Screen:1) Katsupay_spin.pml:26 (state 49)	[break]
130:	proc  1 (User:1) Katsupay_spin.pml:137 (state 21)	[goto :b7]
131:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
132:	proc  1 (User:1) Katsupay_spin.pml:161 (state 58)	[((Screen_state==s_bfail))]
133:	proc  0 (Screen:1) Katsupay_spin.pml:89 (state 86)	[((Screen_state==s_bfail))]
134:	proc  2 (Server:1) Katsupay_spin.pml:201 (state 18)	[HTTP_ch!suc_HTTP_getbalance]
134:	proc  0 (Screen:1) Katsupay_spin.pml:91 (state 87)	[HTTP_ch?suc_HTTP_getbalance]
135:	proc  1 (User:1) Katsupay_spin.pml:168 (state 67)	[Screen_ch!press_bfail_charge_btn]
135:	proc  0 (Screen:1) Katsupay_spin.pml:98 (state 95)	[Screen_ch?press_bfail_charge_btn]
136:	proc  2 (Server:1) Katsupay_spin.pml:204 (state 22)	[Server_state = HTTP_waiting]
137:	proc  0 (Screen:1) Katsupay_spin.pml:99 (state 96)	[Screen_state = s_charge]
138:	proc  1 (User:1) Katsupay_spin.pml:169 (state 68)	[((Screen_state==s_charge))]
139:	proc  0 (Screen:1) Katsupay_spin.pml:101 (state 98)	[.(goto)]
